time,precipitation_mm,et0_mm,water_balance_mm,vpd_mean_kpa,vpd_max_kpa,soil_temperature_surface_c,soil_moisture_surface,soil_moisture_root_zone
2026-07-04 00:00:00+02:00,0.0,6.24,-6.24,1.7791666666666668,2.79,25.270833333333332,0.06974999999999999,0.18862500000000001
2026-07-05 00:00:00+02:00,0.30000000000000004,5.59,-5.29,1.4129166666666666,2.11,24.1125,0.08850000000000001,0.18779166666666666
2026-07-06 00:00:00+02:00,0.30000000000000004,5.42,-5.12,1.36125,2.16,25.195833333333336,0.09079166666666666,0.18725
2026-07-07 00:00:00+02:00,0.7,5.67,-4.97,1.13875,2.7,24.616666666666664,0.10633333333333334,0.18633333333333332
2026-07-08 00:00:00+02:00,6.300000000000001,4.98,1.32,1.1279166666666667,2.46,24.191666666666666,0.10612500000000001,0.1854583333333333
2026-07-09 00:00:00+02:00,0.8,5.19,-4.39,1.1841666666666668,2.07,21.46666666666667,0.11683333333333334,0.1845416666666667
2026-07-10 00:00:00+02:00,0.5,5.12,-4.62,1.2041666666666666,2.44,21.375,0.10908333333333332,0.18370833333333333
2026-07-11 00:00:00+02:00,0.2,5.39,-5.19,1.2666666666666666,2.28,23.09166666666667,0.10570833333333333,0.18299999999999997
2026-07-12 00:00:00+02:00,0.1,4.49,-4.39,1.0058333333333334,1.78,21.8625,0.1185,0.1824583333333333
2026-07-13 00:00:00+02:00,0.0,4.77,-4.77,1.1216666666666666,2.19,22.7,0.09966666666666667,0.18170833333333333
2026-07-14 00:00:00+02:00,0.0,6.05,-6.05,1.6591666666666667,2.93,26.504166666666666,0.09441666666666666,0.18079166666666666
2026-07-15 00:00:00+02:00,2.6,4.38,-1.78,1.28,2.54,26.429166666666664,0.096375,0.18000000000000002
2026-07-16 00:00:00+02:00,0.5,6.17,-5.67,1.7470833333333333,3.2,27.4375,0.10108333333333334,0.17958333333333332
2026-07-17 00:00:00+02:00,0.0,6.1000000000000005,-6.1000000000000005,2.1354166666666665,3.69,28.691666666666666,0.10466666666666667,0.178625
2026-07-18 00:00:00+02:00,0.7000000000000001,6.9799999999999995,-6.279999999999999,2.13125,3.7,29.495833333333334,0.09066666666666667,0.177625
2026-07-19 00:00:00+02:00,2.4000000000000004,4.45,-2.05,1.2762499999999999,2.28,26.983333333333334,0.10595833333333333,0.17699999999999996
2026-07-20 00:00:00+02:00,0.1,5.86,-5.76,1.53875,2.88,26.208333333333332,0.09816666666666667,0.17654166666666668
2026-07-21 00:00:00+02:00,0.0,6.92,-6.92,1.96375,3.07,26.0,0.08883333333333333,0.175625
2026-07-22 00:00:00+02:00,0.1,5.05,-4.95,1.4054166666666668,2.32,23.6125,0.09070833333333334,0.17499999999999996
2026-07-23 00:00:00+02:00,0.7,5.34,-4.64,1.3858333333333333,2.33,22.704166666666666,0.09345833333333332,0.1744583333333333
2026-07-24 00:00:00+02:00,0.4,4.4,-4.0,0.8591666666666667,1.54,20.058333333333334,0.12445833333333334,0.17400000000000002
2026-07-25 00:00:00+02:00,0.1,4.91,-4.81,1.1683333333333332,2.09,20.883333333333333,0.11925000000000001,0.1735833333333333
2026-07-26 00:00:00+02:00,0.0,7.0200000000000005,-7.0200000000000005,1.9308333333333334,3.32,23.383333333333336,0.10758333333333332,0.17299999999999996
2026-07-27 00:00:00+02:00,3.2,6.49,-3.29,1.5229166666666665,3.2,25.3625,0.10645833333333334,0.1724583333333333
2026-07-28 00:00:00+02:00,0.4,5.14,-4.74,1.4991666666666665,2.79,24.358333333333334,0.10720833333333334,0.17200000000000001
2026-07-29 00:00:00+02:00,0.0,6.27,-6.27,1.9183333333333332,3.22,26.141666666666666,0.09516666666666666,0.17145833333333335
2026-07-30 00:00:00+02:00,0.0,6.8,-6.8,2.48,4.07,28.766666666666666,0.09149999999999998,0.17062500000000003
2026-07-31 00:00:00+02:00,0.0,6.78,-6.78,2.8941666666666666,5.08,30.47083333333333,0.09100000000000001,0.16974999999999998
2026-08-01 00:00:00+02:00,0.0,6.53,-6.53,3.033333333333333,5.19,31.083333333333332,0.092875,0.169
2026-08-02 00:00:00+02:00,0.0,7.12,-7.12,2.9375,4.53,31.34166666666667,0.09000000000000001,0.1685
2026-08-03 00:00:00+02:00,0.0,6.96,-6.96,2.8874999999999997,5.26,32.270833333333336,0.09091666666666666,0.16770833333333335
2026-08-04 00:00:00+02:00,0.0,7.3100000000000005,-7.3100000000000005,3.3625000000000003,5.44,32.3125,0.09054166666666667,0.167
2026-08-05 00:00:00+02:00,0.0,7.39,-7.39,3.5241666666666664,5.5,32.9,0.09000000000000001,0.166625
2026-08-06 00:00:00+02:00,0.0,7.44,-7.44,3.3716666666666666,5.69,32.62916666666667,0.08954166666666667,0.166
2026-08-07 00:00:00+02:00,0.7999999999999999,6.32,-5.5200000000000005,2.2379166666666666,4.28,31.329166666666666,0.09104166666666667,0.1655
2026-08-08 00:00:00+02:00,0.0,6.4,-6.4,1.4745833333333334,2.7,25.504166666666666,0.14625,0.165
2026-08-09 00:00:00+02:00,0.0,5.64,-5.64,1.6783333333333335,2.98,25.09583333333333,0.12320833333333335,0.165
2026-08-10 00:00:00+02:00,0.0,6.02,-6.02,2.22375,3.86,26.55,0.112875,0.16445833333333335
