time,latitude,longitude,height_km,event_type,peak_current_ka,location_error,distance_km
2026-08-02 12:16:39.011265400+00:00,48.1458,20.2241,0.0,1,-12.9,0.089,125.02733114916482
2026-08-02 12:16:39.159463400+00:00,48.0755,20.2974,0.0,1,6.5,0.074,116.28742967181563
2026-08-02 12:16:39.159970100+00:00,48.0877,20.2627,0.0,1,7.2,0.112,119.19624297048207
2026-08-02 12:17:31.144742100+00:00,48.0932,20.3225,4.1,2,6.3,0.024,115.72635600444282
2026-08-02 12:17:31.152044+00:00,48.0905,20.3253,0.0,1,2.8,0.124,115.3905557597061
2026-08-02 12:17:31.168339800+00:00,48.0901,20.3351,0.0,1,-7.3,0.102,114.7508849186943
2026-08-02 12:18:27.154722700+00:00,48.0904,20.3065,0.0,1,-6.9,0.057,116.5699964072081
2026-08-02 12:18:27.293305700+00:00,48.0957,20.3301,0.0,1,-5.7,0.085,115.39787403311698
2026-08-02 12:18:27.481339700+00:00,48.0908,20.3038,0.0,1,-5.1,0.047,116.76398590522787
2026-08-02 12:19:56.230875600+00:00,48.107,20.2669,0.0,1,4.1,0.073,120.04196163411943
2026-08-02 12:21:45.752289200+00:00,48.0886,20.2482,0.0,1,-2.8,0.057,120.17400661287733
2026-08-02 12:21:45.752919900+00:00,48.0893,20.243,0.0,1,-3.7,0.094,120.54635201784029
2026-08-02 12:26:00.460652600+00:00,48.096,20.2943,0.0,1,4.0,0.089,117.66813783040837
2026-08-02 12:26:00.465481900+00:00,48.0933,20.299,0.0,1,3.6,0.129,117.2133706905756
2026-08-02 12:26:00.470859700+00:00,48.0929,20.297,0.0,1,3.0,0.063,117.31642686005748
2026-08-02 12:26:00.499807600+00:00,48.0811,20.3713,0.0,1,-4.6,0.113,111.94479716765497
2026-08-02 12:26:00.667528200+00:00,48.034,20.2698,0.0,1,-22.3,0.098,115.79232139498629
2026-08-02 12:28:56.643531700+00:00,48.1439,19.9431,0.0,1,2.5,0.077,142.95406992477413
2026-08-02 12:30:17.738564100+00:00,48.1435,19.9518,0.0,1,-15.9,0.059,142.36264493914695
2026-08-02 12:32:48.862205200+00:00,48.1371,19.9431,0.0,1,7.3,0.1,142.60281643428482
2026-08-02 12:32:48.862822900+00:00,48.1356,19.9431,0.0,1,-8.0,0.058,142.52575746547765
2026-08-02 12:32:48.881159100+00:00,48.1401,19.943,0.0,1,-3.5,0.087,142.76396604811808
2026-08-02 12:32:48.894710100+00:00,48.1489,19.939,0.0,1,-4.3,0.046,143.4829575785161
2026-08-02 12:32:48.904136+00:00,48.1528,19.9392,0.0,1,-7.0,0.096,143.67364838373712
2026-08-02 12:35:57.702489800+00:00,48.1465,19.9758,0.0,1,10.3,0.104,140.95026921645507
2026-08-02 12:35:57.703003400+00:00,48.1481,19.982,0.0,1,-9.7,0.082,140.6308016246489
2026-08-02 12:35:57.923094500+00:00,48.1459,19.9709,0.0,1,-7.6,0.119,141.23851172708365
2026-08-02 12:38:18.973301700+00:00,48.1518,19.9776,0.0,1,-6.5,0.07,141.11434480961466
2026-08-02 12:38:19.043227+00:00,48.1559,19.9309,0.0,1,-10.7,0.045,144.37913779184862
2026-08-02 12:38:59.053955200+00:00,48.1608,19.965,3.7,2,5.2,0.006,142.41492484094692
2026-08-02 12:38:59.058963700+00:00,48.1557,19.9652,0.0,1,4.3,0.075,142.12952674957916
2026-08-02 12:39:16.411778100+00:00,48.0984,20.3543,0.0,1,9.1,0.071,114.04894157943754
2026-08-02 12:39:49.622143800+00:00,48.1591,19.9708,0.0,1,4.7,0.07,141.94687960808275
2026-08-02 12:41:00.610771100+00:00,48.1554,19.9695,0.0,1,7.0,0.166,141.8335806722913
2026-08-02 12:41:00.631403100+00:00,48.1559,19.979,0.0,1,6.3,0.167,141.24244083178868
2026-08-02 12:42:20.107793600+00:00,48.1055,20.3489,0.0,1,-4.3,0.092,114.81662414579976
2026-08-02 12:42:20.118075+00:00,48.1028,20.3524,0.0,1,-5.2,0.077,114.43464487954134
2026-08-02 12:42:38.964916200+00:00,48.1571,19.9637,0.0,1,-12.6,0.069,142.3017714085215
2026-08-02 12:42:38.966531100+00:00,48.1556,19.9748,0.0,1,-11.4,0.073,141.4994268563441
2026-08-02 12:42:38.967102200+00:00,48.1665,19.958,0.0,1,-11.6,0.083,143.17555794362923
2026-08-02 12:42:38.968910800+00:00,48.1548,19.9758,0.0,1,-6.0,0.058,141.39161152090395
2026-08-02 12:42:38.971109800+00:00,48.1553,19.9717,0.0,1,-4.0,0.091,141.68506530529882
2026-08-02 12:42:38.977902+00:00,48.158,19.9562,0.0,1,-4.7,0.066,142.83811473838696
2026-08-02 12:44:16.304684500+00:00,48.1539,19.967,0.0,1,-14.9,0.085,141.91651162891492
2026-08-02 12:44:16.311705200+00:00,48.1575,19.9723,5.2,2,2.8,0.074,141.7636588645557
2026-08-02 12:44:16.314194500+00:00,48.1529,19.9678,0.0,1,-12.9,0.072,141.81123910613434
2026-08-02 12:46:59.472508900+00:00,48.1643,19.9822,0.0,1,-14.4,0.092,141.4879171371006
2026-08-02 12:46:59.481290900+00:00,48.1648,19.9745,0.0,1,-31.8,0.045,142.0137288898245
2026-08-02 12:46:59.491231800+00:00,48.1572,19.969,0.0,1,19.2,0.069,141.96220925043679
2026-08-02 12:46:59.496960800+00:00,48.1588,19.9748,0.0,1,-4.5,0.045,141.67091122698056
2026-08-02 12:46:59.501010600+00:00,48.1569,19.95,0.0,1,-4.1,0.076,143.18394364267496
2026-08-02 12:46:59.502528100+00:00,48.154,19.9695,0.0,1,-5.3,0.08,141.7589824836982
2026-08-02 12:47:47.857489500+00:00,48.1869,19.9206,0.0,1,-3.8,0.065,146.70113656219124
2026-08-02 12:47:47.959191700+00:00,48.1947,19.9289,0.0,1,-14.0,0.036,146.59005777321352
2026-08-02 12:47:47.994973500+00:00,48.1944,19.9288,0.0,1,-7.1,0.049,146.5800491006087
2026-08-02 12:49:08.068046300+00:00,48.1998,20.0013,0.0,1,-15.2,0.144,142.23856569410088
2026-08-02 12:49:08.070691200+00:00,48.1688,19.9874,4.2,2,6.1,0.044,141.39684155062085
2026-08-02 12:49:08.072294400+00:00,48.1682,19.9885,9.1,2,4.0,0.054,141.2930008404778
2026-08-02 12:49:13.103633700+00:00,48.1915,19.8935,0.0,1,-4.9,0.072,148.70587004712894
2026-08-02 12:50:27.552143200+00:00,48.1854,19.8906,0.0,1,-15.4,0.06,148.56766980982255
2026-08-02 12:50:27.618300800+00:00,48.184,19.8948,0.0,1,-4.1,0.102,148.21977933813218
2026-08-02 12:50:27.684992300+00:00,48.1889,19.9054,0.0,1,-13.4,0.058,147.79404850813506
2026-08-02 12:51:22.754985500+00:00,48.2061,19.9612,0.0,1,6.9,0.076,145.15176785133968
2026-08-02 12:51:22.757858600+00:00,48.2089,19.9638,0.0,1,-5.8,0.061,145.14418527302027
2026-08-02 12:52:43.435972400+00:00,48.2018,19.955,0.0,1,-4.3,0.062,145.3065564534292
2026-08-02 12:52:43.436802400+00:00,48.202,19.9564,0.0,1,-3.7,0.06,145.2281261765968
2026-08-02 12:52:43.577025300+00:00,48.1755,19.9791,0.0,1,-6.3,0.064,142.29956548224214
2026-08-02 12:54:17.387102700+00:00,48.1802,19.9878,0.0,1,4.1,0.138,141.9988919056334
2026-08-02 12:54:20.551853600+00:00,48.1268,20.0928,0.0,1,-5.4,0.062,132.29139839365078
2026-08-02 12:54:20.552425600+00:00,48.1281,20.0914,0.0,1,5.9,0.105,132.4529688008156
2026-08-02 12:54:20.566753400+00:00,48.1285,20.0977,0.0,1,-4.6,0.074,132.0680972499284
2026-08-02 12:54:47.438646700+00:00,48.1424,19.8745,0.0,1,-33.7,0.029,147.4007515368259
2026-08-02 12:54:47.541914300+00:00,48.1419,19.8754,0.0,1,-7.8,0.046,147.31608462923765
2026-08-02 12:55:12.146655+00:00,48.1684,19.926,0.0,1,2.4,0.1,145.35832221727532
2026-08-02 12:55:12.147148700+00:00,48.1845,19.9231,0.0,1,2.6,0.127,146.409357926613
2026-08-02 12:55:12.270975600+00:00,48.1626,19.9234,6.3,2,2.9,0.098,145.2213395056192
2026-08-02 12:55:12.286734800+00:00,48.1731,19.9253,0.0,1,3.9,0.077,145.65409993113943
2026-08-02 12:55:20.563455600+00:00,48.1917,19.9348,0.0,1,-4.9,0.046,146.0450854103376
2026-08-02 12:55:20.895376400+00:00,48.179,19.9695,0.0,1,-3.2,0.056,143.11072554099982
2026-08-02 12:55:35.011865500+00:00,48.1942,19.9535,0.0,1,-4.3,0.155,144.97925414710943
2026-08-02 12:56:32.695830+00:00,48.1777,19.9196,9.6,2,2.9,0.084,146.270616194071
2026-08-02 12:57:25.829567600+00:00,48.1819,19.9291,0.0,1,4.5,0.088,145.8800780075788
2026-08-02 12:57:25.846202800+00:00,48.1843,19.9272,0.0,1,4.8,0.072,146.1329883846936
2026-08-02 12:57:59.650948400+00:00,48.1809,19.9382,0.0,1,6.5,0.039,145.2365978328162
2026-08-02 12:57:59.651906700+00:00,48.1884,19.9413,0.0,1,-5.6,0.088,145.44498235116512
2026-08-02 12:57:59.674912800+00:00,48.1984,19.9338,0.0,1,-6.7,0.078,146.4781606550814
2026-08-02 12:59:22.476236500+00:00,48.1952,19.9337,0.0,1,-6.2,0.069,146.30820662319226
